2022-10-07 21:44:23 [    INFO]----start--------start--------start--------start--------start--------start----开始执行登陆操作----start--------start--------start--------start--------start--------start---- (login.py:17)
2022-10-07 21:44:24 [    INFO]成功登录 (login.py:89)
2022-10-07 21:44:24 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_收货暂存区----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:24 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_备货区----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:24 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_存储区----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_待检区----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_退货区----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_冷冻区----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_冷藏区----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_报废区----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----查询库区信息----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----新增库位----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----查询商品信息----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----新增到货通知单----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----查询到货通知单----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----查询指定确认到货通知单----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----确认到货----start--------start--------start--------start--------start--------start---- (test_create_area.py:29)
2022-10-07 21:44:25 [    INFO]----start--------start--------start--------start--------start--------start----开始拷贝日志文件----start--------start--------start--------start--------start--------start---- (conftest.py:28)
